Радіус атома                       98 пм
Густина                               2,34 г/смКУБ
Питома теплоємність           1,025 Дж/(K моль)
Теплопровідність                 27,4 Вт/(м К)
Температура плавлення       2573 K
Теплота плавлення              23,60 кДж/моль
Температура кипіння          3931 K
Теплота випаровування       504,5 кДж/моль
Молярний об'єм                    4,6 смКУБ/моль
Рік відкриття                      1808
Першовідкривач                  Л. Ж. Гей-Люссак, Л. Тенар, Г. Деві
