Радіус атома                      132 пм
Густина                             2,33 г/смКУБ
Питома теплоємність         0,703 Дж/(K моль)
Теплопровідність               149 Вт/(м К)
Температура плавлення     1683 K
Теплота плавлення             50,6 кДж/моль
Температура кипіння         2628 K
Теплота випаровування     383 кДж/моль
Молярний об'єм                  12,1 смКУБ/моль
Рік відкриття                     1811
Першовідкривач                 Жозефом Луї Гей-Люссаком і Луї Жаком Тенаром
