Радіус атома                        138 пм
Густина                               19,05 г/смКУБ
Питома теплоємність           0,115 Дж/(K моль)
Теплопровідність                 27,5 Вт/(м К)
Температура плавлення       1405,5 K
Теплота плавлення              12,6 кДж/моль
Температура кипіння          4018 K
Теплота випаровування       417 кДж/моль
Молярний об'єм                   12,5 смКУБ/моль
Рік відкриття                       1840
Першовідкривач                  Ежен Мелькіор Пеліго
