Радіус атома                       28 пм
Густина                              0,147 (при -270 °C) г/смКУБ
Питома теплоємність          5,188 Дж/(K моль)
Теплопровідність                0,152 Вт/(м К)
Температура плавлення      0,95 K
Теплота плавлення             n/a кДж/моль
Температура кипіння         4,216 K
Теплота випаровування      0,08 кДж/моль
Молярний об'єм                   31,8 смКУБ/моль
Рік відкриття                      1868
Першовідкривач                 П. Ж. Жансан, Норман Лок'єр
