Радіус атома                       149 пм
Густина                              16,654 г/смКУБ
Питома теплоємність          0,140 Дж/(K моль)
Теплопровідність                 57,5 Вт/(м К)
Температура плавлення      3 269 K
Теплота плавлення              24,7 кДж/моль
Температура кипіння           5 698 K
Теплота випаровування       758 кДж/моль
Молярний об'єм                   10,9 смКУБ/моль
Рік відкриття                       1802
Першовідкривач                  Андерс Густаф Екеберг
