Радіус атома                        248 пм
Густина                               1,532 г/смКУБ
Питома теплоємність           0,360 Дж/(K моль)
Теплопровідність                 58,2 Вт/(м К)
Температура плавлення      312,2 K
Теплота плавлення              2,20 кДж/моль
Температура кипіння          961 K
Теплота випаровування       75,8 кДж/моль
Молярний об'єм                    55,9 смКУБ/моль
Рік відкриття                      1861
Першовідкривач                 Роберт Бунзен та Густав Кірхгофф
